name,price,discount,memory,display,camera,battery,warranty,processor
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","₹11,999",31% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"POCO M7 5G (Ocean Blue, 128 GB)","₹10,299",39% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4 Gen 2 5G Processor
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹8,699",20% off,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹10,749",23% off,4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Apple iPhone 16 (Black, 256 GB)","₹79,999",18% off,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,"A18 Chip, 6 Core Processor Processor"
"POCO F7 5G (Phantom Black, 256 GB)","₹31,999",28% off,12 GB RAM | 256 GB ROM,17.35 cm (6.83 inch) Display,50MP Rear Camera | 20MP Front Camera,7550 mAh Li-Polymer + Silicon Carbon Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"Battery
7550mAh, 90W charger, 22.5W reverse charging"
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹19,999",41% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"realme 15 5G (Flowing Silver, 128 GB)","₹25,999",39% off,8 GB RAM | 128 GB ROM,17.27 cm (6.8 inch) Display,50MP + 8MP | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Mediatek Dimensity 7300+ 5G Processor
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹11,999",32% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Tecno Pova 6 Neo 5G (Aurora Cloud, 256 GB)","₹13,999",37% off,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone,Dimensity 6300 5G Processor
"realme 15 Pro 5G (Flowing Silver, 256 GB)","₹33,999",31% off,8 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Display,50MP + 50MP | 50MP Front Camera,7000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Snapdragon 7 Gen 4 Processor
"Tecno Pova 6 Neo 5G (Midnight Shadow, 256 GB)","₹13,999",13% off,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone,Dimensity 6300 5G Processor
"Samsung Galaxy S24 FE 5G (Blue, 128 GB)","₹35,999",40% off,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400e Processor
"Samsung Galaxy F36 5G (Violet, 128 GB)","₹17,499",32% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"Nothing Phone (3a) (White, 256 GB)","₹26,999",32% off,8 GB RAM | 256 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera,5000 mAh Battery,1 Year Manufacturing Warranty,7s Gen3 Processor
"IQOO Neo 10R 5G (Raging Blue, 128 GB)","₹24,100",18% off,8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6400 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,6400 mAh Battery
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹13,499",25% off,8 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹19,999",25% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
